epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
1,2.5898105096817017,15787.447265625,21.044151000000003,2.459171452522278,15735.3212890625,0.0,2.4557642006874083,15735.3212890625,0.0,0.1656,0.11368,0.1167,0.0019017409067600965,26.351491,11.652943,17.02694344520569,2022-11-02 16:29:57.709921,0.0
2,2.3208770179748535,15547.23046875,17.512289000000006,2.5095159749984743,15548.365234375,0.0,2.5115570759773256,15548.365234375,0.0,0.1674,0.13694,0.1378,1.9745930330827832e-05,22.191133,11.357352,13.780373334884644,2022-11-02 16:30:32.844596,0.0
3,2.289687383174896,15555.79296875,19.887224,2.2828231439590456,15554.0234375,0.0,2.2751993227005003,15554.0234375,0.0,0.1423,0.14718,0.1514,6.542262781294994e-06,24.713165,11.636738,16.072006702423096,2022-11-02 16:31:10.922373,0.0
4,2.22993043422699,15527.99609375,20.738001000000008,2.1347960376739503,15528.0302734375,0.0,2.130864236354828,15528.0302734375,0.0,0.2698,0.20762,0.2145,8.262569508588058e-07,25.650791,11.388411,16.78448987007141,2022-11-02 16:31:49.068538,0.0
5,2.259202148914337,15525.7373046875,19.97253900000001,2.153844175338745,15525.7431640625,0.0,2.152218488454819,15525.7431640625,0.0,0.2096,0.18288,0.1819,4.81246445360739e-07,24.686638,11.556147,16.20304250717163,2022-11-02 16:32:27.086938,0.0
6,2.197848563194275,15467.720703125,21.54793100000001,1.9886593327522277,15467.720703125,0.0,1.9798744106292725,15467.720703125,0.0,0.298,0.26254,0.2668,2.681279624994204e-07,26.663163,11.443302,17.519568920135498,2022-11-02 16:33:06.305940,0.0
7,2.146066516637802,15453.57421875,18.192959999999992,2.1851997859477996,15453.5712890625,0.0,2.1746852052211763,15453.5712890625,0.0,0.2212,0.21704,0.2197,5.323701088855159e-07,22.825638,11.470378,14.408834457397461,2022-11-02 16:33:41.775544,0.0
8,2.1233542919158936,15405.7421875,19.318895999999995,1.9562930037975312,15405.26953125,0.0,1.9533173060417175,15405.26953125,0.0,0.3407,0.26716,0.2649,7.141380251596274e-07,24.430241,11.686985,15.434385061264038,2022-11-02 16:34:19.192571,0.0
9,2.0305816280841826,15372.162109375,17.369888999999997,1.8460120124816894,15372.138671875,0.0,1.8417331063747406,15372.138671875,0.0,0.302,0.31998,0.3266,6.156740823826112e-07,22.062878,11.347926,13.627236604690552,2022-11-02 16:34:54.270120,0.0
10,2.0501752638816835,15375.1533203125,20.374819000000002,2.007284830570221,15374.99609375,0.0,2.0040883195400236,15374.99609375,0.0,0.2902,0.26428,0.2665,7.098386163306714e-07,25.382521,11.642143,16.49050259590149,2022-11-02 16:35:33.493010,0.0
11,2.0026778173446655,15326.357421875,21.482912000000002,1.8828818871974946,15326.27734375,0.0,1.8706480634212495,15326.27734375,0.0,0.3551,0.3031,0.2988,6.772940537302929e-07,26.370042,11.459973,17.506812572479248,2022-11-02 16:36:12.534377,0.0
12,2.020998431444168,15319.287109375,19.652433999999996,1.9213850116729736,15319.2861328125,0.0,1.9168896079063416,15319.2861328125,0.0,0.3367,0.2872,0.2846,5.694775495612703e-07,24.336888,11.805977,15.902228116989136,2022-11-02 16:36:50.232599,0.0
13,1.9653830122947693,15263.1982421875,21.531269999999996,1.7700994048118592,15263.04296875,0.0,1.7617740404605866,15263.04296875,0.0,0.3938,0.34884,0.3484,4.7518290102743777e-07,26.524429,11.507697,17.56883716583252,2022-11-02 16:37:29.370687,0.0
14,1.9425795841217042,15249.18359375,18.318571999999993,1.806649956703186,15249.1748046875,0.0,1.7987719571590424,15249.1748046875,0.0,0.3661,0.33046,0.3254,5.819980515298084e-07,23.118429,11.61922,14.511464595794678,2022-11-02 16:38:05.133185,0.0
15,1.9108915328979492,15202.0263671875,19.59834699999999,1.7982717323303223,15201.8056640625,0.0,1.794664467573166,15201.8056640625,0.0,0.377,0.3429,0.3414,7.624934710293019e-07,24.357761,11.698228,15.676887273788452,2022-11-02 16:38:42.724695,0.0
16,1.8976705431938172,15173.0126953125,17.254042999999992,1.7428556849956514,15173.0009765625,0.0,1.7383983325958252,15173.0009765625,0.0,0.3937,0.3623,0.3586,7.466944111911289e-07,22.017457,11.491418,13.530115604400635,2022-11-02 16:39:17.567008,0.0
17,1.9174485528469085,15169.275390625,19.809917000000002,1.784560486793518,15168.669921875,0.0,1.7792809414863586,15168.669921875,0.0,0.3956,0.35212,0.3538,8.668619670970656e-07,24.494922,11.86583,15.945685386657715,2022-11-02 16:39:55.458705,0.0
18,1.8350785231590272,15122.5107421875,19.646096000000007,1.9016662254333496,15122.5244140625,0.0,1.8964518427848815,15122.5244140625,0.0,0.381,0.29982,0.3031,9.960089073501877e-07,24.632466,11.581286,15.712214708328247,2022-11-02 16:40:32.983431,0.0
19,1.8494261169433595,15112.990234375,19.636173000000003,1.721331618785858,15112.984375,0.0,1.7132846212387085,15112.984375,0.0,0.3821,0.34008,0.3431,5.900037649553269e-07,24.17582,11.779278,15.930795907974243,2022-11-02 16:41:11.185043,0.0
20,1.8134702277183532,15063.341796875,20.535711,1.6546127560138701,15063.3212890625,0.0,1.6540510094165801,15063.3212890625,0.0,0.3925,0.40286,0.4015,5.74939349462511e-07,25.105292,11.727454,16.624547004699707,2022-11-02 16:41:49.801518,0.0
21,1.7958699321746827,15040.326171875,16.931054999999997,1.7555694892406464,15040.3193359375,0.0,1.7464057731628417,15040.3193359375,0.0,0.3887,0.36588,0.3651,1.078934701581602e-06,21.743424,11.612953,13.116455554962158,2022-11-02 16:42:24.759193,0.0
22,1.7661585247516631,15002.44921875,21.448246,1.7415503380298614,15002.271484375,0.0,1.7466846430301666,15002.271484375,0.0,0.3755,0.34308,0.3359,5.484810117195593e-07,26.505836,11.946302,17.404020309448242,2022-11-02 16:43:04.651261,0.0
23,1.7274658107757568,14979.0419921875,17.696409000000006,1.6362917881011962,14978.8525390625,0.0,1.636144254207611,14978.8525390625,0.0,0.4307,0.39902,0.4054,7.930890433271998e-07,22.35211,11.798486,13.976158618927002,2022-11-02 16:43:40.232461,0.0
24,1.7664864122867585,14960.8671875,18.872290000000003,1.6739455516338348,14959.955078125,0.0,1.6737001180648803,14959.955078125,0.0,0.4246,0.40224,0.3999,9.52737082116073e-07,23.794256,11.948432,14.90248441696167,2022-11-02 16:44:17.389869,0.0
25,1.7137482404708861,14936.47265625,17.262399000000002,1.6461145346164703,14936.4072265625,0.0,1.6474262464046479,14936.4072265625,0.0,0.4606,0.39758,0.3891,1.1858810466947034e-06,21.753937,11.665545,13.561517000198364,2022-11-02 16:44:52.688294,0.0
26,1.733546837568283,14918.44921875,18.415278999999998,1.7956026439666748,14918.3408203125,0.0,1.7909861516952514,14918.3408203125,0.0,0.403,0.34306,0.343,7.403326662824838e-07,23.07807,11.875606,14.655049562454224,2022-11-02 16:45:28.654477,0.0
