epoch,train_loss,train_l2_loss,train_excange_proc,val_loss,val_l2_loss,val_excange_proc,test_loss,test_l2_loss,test_excange_proc,train_acc,val_acc,test_acc,diff,train_proc,eval_proc,comm_proc,timestamp,sleep_proc
37,1.2546056821011007,14655.453125,0.3316469999999999,1.1325137969255448,14654.8662109375,0.0,1.2082404774427413,14654.8662109375,0.0,0.60296875,0.602,0.5741,0.0,7.41862,11.581635,0.0,2022-10-31 19:27:00.691852,0.0
38,1.236177595332265,14580.6669921875,0.3065450000000001,1.1306884355545044,14580.0888671875,0.0,1.2082409584522247,14580.0888671875,0.0,0.601328125,0.60474,0.5805,0.0,7.728251,11.563174,0.0,2022-10-31 19:27:19.983571,0.0
39,1.2291317735798657,14506.2646484375,0.3341070000000001,1.101191016793251,14505.6943359375,0.0,1.1802535569667816,14505.6943359375,0.0,0.613671875,0.61132,0.5924,0.0,7.473404,11.560334,0.0,2022-10-31 19:27:39.017658,0.0
40,1.2148574171587825,14432.25,0.2995009999999999,1.0841148931980134,14431.66796875,0.0,1.178049442768097,14431.66796875,0.0,0.613359375,0.61554,0.5841,0.0,7.752394,11.571894,0.0,2022-10-31 19:27:58.342249,0.0
41,1.2092440607957542,14358.603515625,0.303436,1.0351448054313659,14358.02734375,0.0,1.1267785489559174,14358.02734375,0.0,0.6359375,0.63462,0.6072,0.0,7.739764,11.602057,0.0,2022-10-31 19:28:17.684375,0.0
42,1.1913978485390544,14285.3408203125,0.32303300000000007,1.08827725815773,14284.76171875,0.0,1.1767719370126724,14284.76171875,0.0,0.6315625,0.62408,0.5976,0.0,7.410705,11.576327,0.0,2022-10-31 19:28:36.671688,0.0
43,1.1855278443545103,14212.447265625,0.30090500000000003,1.1025997561216354,14211.8701171875,0.0,1.1993945652246476,14211.8701171875,0.0,0.616171875,0.61984,0.591,0.0,7.582525,11.588835,0.0,2022-10-31 19:28:55.843330,0.0
44,1.1589567218907177,14139.9306640625,0.337999,1.0084316643476485,14139.359375,0.0,1.1078775441646576,14139.359375,0.0,0.6440625,0.64652,0.6129,0.0,7.309617,11.52806,0.0,2022-10-31 19:29:14.681294,0.0
45,1.1556080426089466,14067.78515625,0.3008850000000003,1.0374876643419266,14067.2216796875,0.0,1.138106124997139,14067.2216796875,0.0,0.6459375,0.63758,0.6036,0.0,7.659483,11.531917,0.0,2022-10-31 19:29:33.872999,0.0
46,1.1501069720834494,13996.009765625,0.2898579999999999,1.0275635420084,13995.443359375,0.0,1.1354832530021668,13995.443359375,0.0,0.6415625,0.6434,0.6118,0.0,7.647893,11.569521,0.0,2022-10-31 19:29:53.090690,0.0
47,1.1542041944339871,13924.599609375,0.29867900000000003,0.974908525466919,13924.03515625,0.0,1.0784872961044312,13924.03515625,0.0,0.6625,0.65764,0.6214,0.0,7.72273,11.620132,0.0,2022-10-31 19:30:12.433838,0.0
48,1.115969168022275,13853.55078125,0.2895229999999999,0.9740277462005615,13852.998046875,0.0,1.0827105993032455,13852.998046875,0.0,0.66,0.6592,0.6254,0.0,7.763819,11.579645,0.0,2022-10-31 19:30:31.777594,0.0
49,1.1216923082247376,13782.8740234375,0.28593,1.0445178706645966,13782.3212890625,0.0,1.149950161576271,13782.3212890625,0.0,0.628203125,0.63476,0.6069,0.0,7.629881,11.584278,0.0,2022-10-31 19:30:50.992055,0.0
